combination,lift
"('acura', 'luxury')",0.02
"('acura', 'lux')",0.2
"('acura', 'style')",0.0028169014084507044
"('acura', 'buy')",0.0010380622837370243
"('acura', 'wish')",0.00967741935483871
"('acura', 'own')",0.003703703703703704
"('acura', 'class')",0.003061224489795918
"('acura', 'brand')",0.00819672131147541
"('audi', 'luxury')",0.022222222222222223
"('audi', 'lux')",0.3333333333333333
"('audi', 'style')",0.004694835680751174
"('audi', 'buy')",0.009611687812379853
"('audi', 'wish')",0.014336917562724014
"('audi', 'own')",0.037037037037037035
"('audi', 'dream')",0.012345679012345678
"('audi', 'expensive')",0.006944444444444444
"('audi', 'class')",0.022675736961451247
"('audi', 'smooth')",0.025252525252525252
"('audi', 'pricey')",0.04938271604938271
"('audi', 'favorite')",0.011111111111111112
"('audi', 'brand')",0.012750455373406194
"('bmw', 'luxury')",0.008695652173913044
"('bmw', 'lux')",0.08695652173913043
"('bmw', 'grace')",0.043478260869565216
"('bmw', 'style')",0.001837109614206981
"('bmw', 'buy')",0.0010531066646607492
"('bmw', 'wish')",0.002805049088359046
"('bmw', 'own')",0.006843800322061192
"('bmw', 'dream')",0.00966183574879227
"('bmw', 'expensive')",0.005434782608695652
"('bmw', 'class')",0.0026619343389529724
"('bmw', 'smooth')",0.0029644268774703555
"('bmw', 'favorite')",0.002173913043478261
"('bmw', 'brand')",0.002851033499643621
"('buick', 'luxury')",0.05
"('buick', 'lux')",0.5
"('buick', 'style')",0.007042253521126761
"('buick', 'buy')",0.0011534025374855825
"('buick', 'wish')",0.016129032258064516
"('buick', 'own')",0.006172839506172839
"('buick', 'dream')",0.018518518518518517
"('buick', 'class')",0.003401360544217687
"('buick', 'favorite')",0.008333333333333333
"('buick', 'brand')",0.01092896174863388
"('cadillac', 'luxury')",0.014285714285714285
"('cadillac', 'lux')",0.14285714285714285
"('cadillac', 'style')",0.002012072434607646
"('cadillac', 'buy')",0.0009886307464162135
"('cadillac', 'own')",0.007936507936507936
"('cadillac', 'class')",0.0014577259475218659
"('cadillac', 'brand')",0.00234192037470726
"('chevrolet', 'luxury')",0.13333333333333333
"('chevrolet', 'lux')",1.3333333333333333
"('chevrolet', 'grace')",0.3333333333333333
"('chevrolet', 'style')",0.06103286384976526
"('chevrolet', 'buy')",0.025374855824682813
"('chevrolet', 'wish')",0.03225806451612903
"('chevrolet', 'own')",0.08024691358024691
"('chevrolet', 'expensive')",0.052083333333333336
"('chevrolet', 'class')",0.047619047619047616
"('chevrolet', 'smooth')",0.030303030303030304
"('chevrolet', 'pricey')",0.07407407407407407
"('chevrolet', 'brand')",0.03278688524590164
"('chrysler', 'lux')",0.09090909090909091
"('chrysler', 'style')",0.002560819462227913
"('chrysler', 'buy')",0.0014155394778232148
"('chrysler', 'wish')",0.001466275659824047
"('chrysler', 'own')",0.007154882154882155
"('chrysler', 'expensive')",0.0014204545454545455
"('chrysler', 'class')",0.002319109461966605
"('chrysler', 'smooth')",0.0030991735537190084
"('chrysler', 'brand')",0.0007451564828614009
"('dodge', 'luxury')",0.006666666666666667
"('dodge', 'lux')",0.13333333333333333
"('dodge', 'style')",0.003755868544600939
"('dodge', 'buy')",0.002768166089965398
"('dodge', 'wish')",0.004301075268817204
"('dodge', 'own')",0.013580246913580247
"('dodge', 'expensive')",0.008333333333333333
"('dodge', 'class')",0.0013605442176870747
"('dodge', 'smooth')",0.007575757575757576
"('dodge', 'favorite')",0.0033333333333333335
"('dodge', 'brand')",0.00546448087431694
"('ford', 'luxury')",0.0045045045045045045
"('ford', 'lux')",0.05405405405405406
"('ford', 'style')",0.0024108615657911434
"('ford', 'buy')",0.0028367467813834595
"('ford', 'wish')",0.004068584713746004
"('ford', 'own')",0.008091424758091425
"('ford', 'dream')",0.004004004004004004
"('ford', 'expensive')",0.003941441441441441
"('ford', 'class')",0.003033645890788748
"('ford', 'smooth')",0.0042997542997543
"('ford', 'pricey')",0.004004004004004004
"('ford', 'favorite')",0.0036036036036036037
