,Word,Count,POS
0,car,7674,NN
1,accord,4566,NN
2,would,3298,MD
3,like,3006,IN
4,one,2592,CD
5,year,2265,NN
6,get,2135,VB
7,think,2077,NN
8,honda,1971,NN
9,new,1891,JJ
10,fusion,1852,NN
11,good,1693,JJ
12,better,1566,RBR
13,engine,1564,NN
14,much,1520,JJ
15,ford,1514,NN
16,camry,1507,NN
17,time,1496,NN
18,even,1385,RB
19,make,1371,VB
20,well,1361,RB
21,look,1337,NN
22,also,1264,RB
23,see,1228,VB
24,thing,1225,NN
25,know,1203,VB
26,mile,1092,NN
27,say,1079,VB
28,people,1077,NNS
29,vehicle,1074,NN
30,really,1071,RB
31,could,1043,MD
32,le,1025,NN
33,way,1014,NN
34,sonata,1012,NN
35,price,1006,NN
36,drive,1003,NN
37,go,988,VB
38,model,973,NN
39,still,935,RB
40,lot,932,NN
41,sedan,931,NN
42,many,887,JJ
43,going,882,VBG
44,sale,871,NN
45,want,867,NN
46,power,849,NN
47,toyota,843,NN
48,need,840,NN
49,buy,831,VB
50,something,824,NN
51,cost,787,NN
52,driving,786,VBG
53,back,782,RB
54,may,773,MD
55,mazda,768,NN
56,problem,760,NN
57,interior,759,NN
58,value,758,NN
59,right,751,NN
60,altima,721,NN
61,take,718,VB
62,since,708,IN
63,last,691,JJ
64,never,675,RB
65,old,675,JJ
66,mpg,662,NN
67,best,660,JJS
68,around,660,IN
69,point,658,NN
70,sure,657,NN
71,warranty,655,NN
72,got,636,VBD
73,great,635,JJ
74,difference,622,NN
75,though,620,IN
76,said,620,VBD
77,two,617,CD
78,come,614,VB
79,actually,609,RB
80,first,608,RB
81,little,607,JJ
82,maybe,606,RB
83,feel,605,NN
84,used,603,VBN
85,ca,598,MD
86,dealer,595,NN
87,number,592,NN
88,gm,581,NN
89,wheel,574,NN
90,different,569,JJ
91,pretty,569,RB
92,test,567,NN
93,hp,562,NN
94,class,556,NN
95,fact,547,NN
96,another,545,DT
97,aura,544,NN
98,quality,539,NN
99,seat,536,NN
100,long,535,RB
101,day,511,NN
102,reason,504,NN
103,sell,501,NN
104,least,496,JJS
105,big,493,JJ
106,speed,492,NN
107,mileage,490,NN
108,control,489,NN
109,every,489,DT
110,hyundai,487,NN
111,might,477,MD
112,manual,474,JJ
113,believe,473,VB
114,probably,472,RB
115,system,472,NN
116,seems,470,VBZ
117,bought,469,NN
118,reliability,468,NN
119,looking,468,VBG
120,malibu,467,NN
121,guess,464,NN
122,fuel,463,NN
123,midsize,462,NN
124,driver,461,NN
125,far,461,RB
126,keep,458,VB
127,handling,457,VBG
128,put,457,NN
129,high,456,JJ
130,mean,448,NN
131,awd,446,NN
132,getting,446,VBG
133,rear,444,NN
134,buyer,444,NN
135,use,442,NN
136,find,441,VB
137,enough,431,RB
138,anything,429,NN
139,bit,429,NN
140,front,428,NN
141,second,425,JJ
142,part,420,NN
143,bad,419,JJ
144,work,418,NN
145,nice,418,JJ
146,yes,417,NNS
147,without,414,IN
148,brand,414,NN
149,current,408,JJ
150,transmission,407,NN
151,post,406,NN
152,road,405,NN
153,tire,404,NN
154,feature,403,NN
155,let,402,VB
156,design,399,NN
157,change,396,NN
158,mph,395,NN
159,either,394,DT
160,made,394,VBN
161,agree,393,NN
162,always,393,RB
163,course,388,NN
164,end,388,NN
165,top,386,NN
166,gas,383,NN
167,average,382,JJ
168,pay,377,NN
169,resale,376,NN
170,ever,376,RB
171,performance,372,NN
172,next,371,JJ
173,seem,368,NN
174,etc,367,NN
175,however,363,RB
176,case,363,NN
177,experience,356,NN
178,higher,354,JJR
179,others,353,NNS
180,money,352,NN
181,issue,349,NN
182,read,346,NN
183,give,344,VB
184,nissan,341,NNS
185,based,341,VBN
186,standard,340,NN
187,month,339,NN
188,company,339,NN
189,brake,335,NN
190,offer,334,NN
191,owner,332,NN
192,available,328,JJ
193,sound,328,NN
194,nothing,325,NN
195,someone,324,NN
196,thought,324,NN
197,auto,324,NN
198,real,322,JJ
199,market,322,NN
200,rpm,318,NN
201,yet,317,RB
202,sold,317,VBN
203,extra,316,JJ
204,line,316,NN
205,buying,315,NN
206,size,315,NN
207,side,307,NN
208,wo,306,MD
209,true,306,JJ
210,start,306,NN
211,economy,306,NN
212,else,305,RB
213,ago,305,RB
214,saying,303,VBG
215,hard,302,JJ
216,lower,300,JJR
217,deal,297,NN
218,almost,296,RB
219,choice,295,NN
220,example,293,NN
221,cylinder,293,NN
222,quite,291,RB
223,civic,290,NN
224,cr,290,NN
225,fun,288,NN
226,epa,287,NN
227,close,285,RB
228,seen,283,VBN
229,making,282,VBG
230,version,282,NN
231,ride,281,NN
232,repair,281,NN
233,product,277,NN
234,highway,276,NN
235,opinion,275,NN
236,fleet,272,NN
237,family,272,NN
238,steering,271,VBG
239,door,271,NN
240,likely,271,JJ
241,per,268,IN
242,room,264,NN
243,especially,264,RB
244,run,263,VB
245,care,263,NN
246,selling,262,VBG
247,imo,262,NN
248,automatic,261,JJ
249,torque,260,NN
250,fine,260,NN
251,perhaps,259,RB
252,option,258,NN
253,fit,258,NN
254,low,257,JJ
255,chrysler,256,NN
256,gear,255,NN
257,wrong,255,JJ
258,tell,255,NN
259,manufacturer,254,NN
260,matter,253,NN
261,anyone,252,NN
262,try,251,NN
263,compared,249,VBN
264,paid,248,NN
265,although,248,IN
266,show,247,NN
267,done,245,VBN
268,se,245,NN
269,talking,243,VBG
270,past,243,NN
271,help,243,NN
272,segment,242,NN
273,certainly,242,RB
274,button,240,NN
275,list,238,NN
276,kind,238,NN
277,similar,238,JJ
278,couple,238,NN
279,consumer,236,NN
280,comparison,235,NN
281,worth,233,NN
282,rather,233,RB
283,longer,232,NN
284,found,231,NN
285,small,230,JJ
286,driven,229,NN
287,wonder,229,NN
288,drove,227,NN
289,stop,226,NN
290,rating,226,NN
291,term,226,NN
292,consider,225,VB
293,oil,224,NN
294,owned,224,VBN
295,reliable,222,JJ
296,legacy,222,NN
297,understand,220,NN
298,mind,219,NN
299,today,219,NN
300,instead,218,RB
301,able,218,JJ
302,forum,216,NN
303,taurus,215,NN
304,overall,214,JJ
305,trim,213,NN
306,discussion,213,NN
307,wife,211,NN
308,anyway,210,RB
309,whole,209,JJ
310,several,208,JJ
311,already,207,RB
312,expensive,205,JJ
313,purchase,205,NN
314,styling,205,VBG
315,simply,205,RB
316,must,205,MD
317,turn,205,NN
318,light,205,NN
319,away,204,RB
320,important,202,JJ
321,msrp,202,NN
322,everyone,202,NN
323,rebate,202,NN
324,guy,201,NN
325,love,201,NN
326,trying,200,VBG
327,large,200,JJ
328,exactly,200,RB
329,three,199,CD
330,everything,199,NN
331,unless,198,IN
332,optimum,197,NN
333,diesel,196,NN
334,interesting,195,VBG
335,stick,193,NN
336,plastic,193,NN
337,went,192,VBD
338,discount,192,NN
339,question,192,NN
340,ex,191,NN
341,premium,191,NN
342,window,190,NN
343,american,188,JJ
344,saturn,188,NN
345,wanted,188,VBD
346,expect,187,VB
347,bmw,187,NN
348,doubt,186,NN
349,sport,186,NN
350,review,185,NN
351,lx,185,NN
352,name,184,NN
353,city,184,NN
354,trip,184,NN
355,remember,184,VB
356,due,183,JJ
357,add,183,VB
358,except,182,IN
359,oh,182,NN
360,place,181,NN
361,thousand,181,NN
362,area,181,NN
363,hit,179,NN
364,report,178,NN
365,generation,178,NN
366,using,177,VBG
367,insurance,177,NN
368,folk,177,NN
369,comment,177,NN
370,rental,177,NN
371,handle,176,NN
372,huge,176,JJ
373,behind,176,IN
374,idea,174,NN
375,domestic,171,JJ
376,looked,170,VBD
377,truck,170,NN
378,suspension,170,NN
379,base,170,NN
380,level,170,NN
381,ok,169,NN
382,tranny,169,NN
383,type,169,NN
384,edmunds,168,NNS
385,increase,168,NN
386,motor,168,NN
387,competition,168,NN
388,condition,168,NN
389,move,167,NN
390,including,167,VBG
391,previous,167,JJ
392,bet,167,NN
393,hybrid,166,NN
394,life,166,NN
395,incentive,165,NN
396,came,165,VBD
397,coupe,165,NN
398,usually,165,RB
399,hope,164,NN
400,hold,164,NN
401,figure,164,NN
402,dealership,163,NN
403,head,163,NN
404,full,162,JJ
405,short,162,JJ
406,safety,162,NN
407,world,162,NN
408,needed,161,VBN
409,maintenance,161,NN
410,trunk,160,NN
411,foot,160,NN
412,rwd,159,NN
413,build,159,NN
414,given,159,VBN
415,took,159,VBD
416,faster,159,NN
417,wagon,158,NN
418,inside,158,IN
419,along,158,IN
420,plus,158,CC
421,please,155,NN
422,total,155,JJ
423,easy,155,JJ
424,weight,155,NN
425,volume,154,NN
426,bigger,154,JJR
427,impala,154,NN
428,range,153,NN
429,dont,153,NN
430,rest,153,NN
431,competitive,153,JJ
432,tl,152,NN
433,word,151,NN
434,benchmark,151,NN
435,left,151,NN
436,focus,151,NN
437,cheap,151,NN
438,statement,151,NN
439,ab,151,NN
440,person,150,NN
441,fwd,150,NN
442,thinking,150,VBG
443,larger,150,JJR
444,five,149,CD
445,hatchback,149,NN
446,surprise,148,NN
447,amount,148,NN
448,decision,148,NN
449,prefer,148,NN
450,result,147,NN
451,often,147,RB
452,cheaper,147,NN
453,fast,147,NN
454,mustang,146,NN
455,saw,146,NN
456,leather,145,NN
457,original,145,JJ
458,felt,145,NN
459,check,145,NN
460,service,145,NN
461,friend,145,NN
462,personally,144,RB
463,yeah,142,NN
464,stuff,142,NN
465,sort,142,NN
466,built,142,NN
467,acceleration,142,NN
468,ask,142,NN
469,happy,141,JJ
470,factor,141,NN
471,style,140,NN
472,lack,139,NN
473,coming,139,VBG
474,customer,139,NN
475,definitely,139,RB
476,heard,139,NN
477,xr,139,NN
478,hand,139,NN
479,call,138,NN
480,shade,138,NN
481,shift,138,NN
482,thats,137,NNS
483,set,137,NN
484,talk,137,NN
485,smooth,137,NN
486,later,137,RB
487,confuse,136,NN
488,four,136,CD
489,computer,135,NN
490,posted,135,VBN
491,advantage,135,NN
492,sense,135,NN
493,traffic,134,NN
494,whatever,134,WDT
495,link,133,NN
496,compare,133,NN
497,recall,133,NN
498,mention,133,NN
499,dollar,133,NN
500,wait,133,NN
501,air,132,NN
502,willing,131,JJ
503,happen,131,VB
504,according,131,VBG
505,replaced,131,VBN
506,fe,131,NN
507,suv,131,NN
508,subaru,131,NN
509,running,130,VBG
510,major,130,JJ
511,hear,129,NN
512,key,129,NN
513,dash,129,NN
514,rev,129,NN
515,quick,129,NN
516,obviously,128,RB
517,break,127,NN
518,vw,127,NN
519,milan,127,NN
520,hundred,126,VBN
521,space,126,NN
522,smaller,126,JJR
523,early,126,RB
524,material,126,NN
525,rate,126,NN
526,inch,125,NN
527,competitor,125,NN
528,comfortable,125,JJ
529,picture,125,NN
530,considering,125,VBG
531,actual,124,JJ
532,possible,124,JJ
533,generally,124,RB
534,stability,124,NN
535,equal,124,JJ
536,offered,124,VBN
537,whether,123,IN
538,esc,123,NN
539,offering,123,NN
540,category,123,NN
541,limit,122,NN
542,week,122,NN
543,dodge,122,NN
544,correct,122,NN
545,cvt,121,NN
546,rated,121,VBN
547,liked,121,VBN
548,acura,121,NN
549,sebring,120,VBG
550,live,120,JJ
551,taking,120,VBG
552,within,119,IN
553,half,119,NN
554,period,119,NN
555,business,118,NN
556,considered,118,VBN
557,view,118,NN
558,equipped,117,VBN
559,limited,117,JJ
560,reputation,117,NN
561,perfect,117,NN
562,improved,117,VBN
563,state,116,NN
564,mine,116,NN
565,sel,116,NN
566,plenty,116,NN
567,timing,116,NN
568,exhaust,115,NN
569,throttle,115,NN
570,corner,115,NN
571,article,115,NN
572,easily,114,RB
573,save,114,VB
574,surprised,114,JJ
575,paying,114,VBG
576,worse,114,JJR
577,camcords,114,NNS
578,certain,112,JJ
579,personal,112,JJ
580,slightly,111,RB
581,comfort,111,NN
582,replace,111,VB
583,mentioned,111,VBN
584,particular,111,JJ
585,future,111,NN
586,data,111,NNS
587,changed,111,VBN
588,chance,110,NN
589,black,109,JJ
590,started,109,VBN
591,claim,108,NN
592,beat,108,NN
593,older,108,JJR
594,poor,108,JJ
595,stand,107,NN
596,jd,107,NN
597,noise,107,NN
598,improve,107,VB
599,recently,107,RB
600,powerful,107,JJ
601,technology,106,NN
602,late,106,RB
603,added,106,VBD
604,quiet,106,JJ
