,Word,POS,Count
0,car,NN,7674
1,honda,NN,7170
2,ford,NN,3975
3,would,MD,3298
4,like,IN,3006
5,toyota,NN,2814
6,one,CD,2592
7,year,NN,2265
8,get,VB,2135
9,think,NN,2077
10,new,JJ,1891
11,hyundai,NN,1794
12,good,JJ,1693
13,better,RBR,1566
14,engine,NN,1564
15,much,JJ,1520
16,time,NN,1496
17,even,RB,1385
18,make,VB,1371
19,well,RB,1361
20,look,NN,1337
21,also,RB,1264
22,see,VB,1228
23,thing,NN,1225
24,know,VB,1203
25,mile,NN,1092
26,say,VB,1079
27,people,NNS,1077
28,vehicle,NN,1074
29,really,RB,1071
30,could,MD,1043
31,le,NN,1025
32,way,NN,1014
33,price,NN,1006
34,drive,NN,1003
35,go,VB,988
36,model,NN,973
37,still,RB,935
38,lot,NN,932
39,sedan,NN,931
40,nissan,NN,903
41,many,JJ,887
42,going,VBG,882
43,sale,NN,871
44,chevrolet,NN,868
45,want,NN,867
46,power,NN,849
47,need,NN,840
48,buy,VB,831
49,something,NN,824
50,cost,NN,787
51,driving,VBG,786
52,back,RB,782
53,may,MD,773
54,mazda,NN,769
55,problem,NN,760
56,interior,NN,759
57,value,NN,758
58,right,NN,751
59,saturn,NN,732
60,take,VB,718
61,since,IN,708
62,last,JJ,691
63,never,RB,675
64,old,JJ,675
65,mpg,NN,662
66,around,IN,660
67,best,JJS,660
68,point,NN,658
69,sure,NN,657
70,warranty,NN,655
71,got,VBD,636
72,great,JJ,635
73,difference,NN,622
74,said,VBD,620
75,though,IN,620
76,two,CD,617
77,come,VB,614
78,actually,RB,609
79,first,RB,608
80,little,JJ,607
81,maybe,RB,606
82,feel,NN,605
83,used,VBN,603
84,ca,MD,598
85,dealer,NN,595
86,number,NN,592
87,gm,NN,581
88,wheel,NN,574
89,different,JJ,569
90,pretty,RB,569
91,test,NN,567
92,hp,NN,562
93,class,NN,556
94,fact,NN,547
95,another,DT,545
96,quality,NN,539
97,seat,NN,536
98,long,RB,535
99,day,NN,511
100,reason,NN,504
101,sell,NN,501
102,least,JJS,496
103,big,JJ,493
104,speed,NN,492
105,mileage,NN,490
106,control,NN,489
107,every,DT,489
108,might,MD,477
109,manual,JJ,474
110,believe,VB,473
111,system,NN,472
112,probably,RB,472
113,seems,VBZ,470
114,bought,NN,469
115,reliability,NN,468
116,looking,VBG,468
117,guess,NN,464
118,fuel,NN,463
119,midsize,NN,462
120,far,RB,461
121,driver,NN,461
122,keep,VB,458
123,handling,VBG,457
124,put,NN,457
125,high,JJ,456
126,chrysler,NN,455
127,mean,NN,448
128,awd,NN,446
129,getting,VBG,446
130,buyer,NN,444
131,rear,NN,444
132,use,NN,442
133,find,VB,441
134,enough,RB,431
135,bit,NN,429
136,anything,NN,429
137,front,NN,428
138,second,JJ,425
139,part,NN,420
140,bad,JJ,419
141,work,NN,418
142,nice,JJ,418
143,yes,NNS,417
144,brand,NN,414
145,without,IN,414
146,current,JJ,408
147,transmission,NN,407
148,post,NN,406
149,subaru,NN,406
150,road,NN,405
151,tire,NN,404
152,feature,NN,403
153,let,VB,402
154,design,NN,399
155,change,NN,396
156,mph,NN,395
157,made,VBN,394
158,either,DT,394
159,agree,NN,393
160,always,RB,393
161,course,NN,388
162,end,NN,388
163,top,NN,386
164,gas,NN,383
165,average,JJ,382
166,pay,NN,377
167,ever,RB,376
168,resale,NN,376
169,performance,NN,372
170,next,JJ,371
171,seem,NN,368
172,etc,NN,367
173,case,NN,363
174,however,RB,363
175,experience,NN,356
176,higher,JJR,354
177,others,NNS,353
178,money,NN,352
179,issue,NN,349
180,read,NN,346
181,give,VB,344
182,nissan,NNS,341
183,based,VBN,341
184,standard,NN,340
185,company,NN,339
186,month,NN,339
187,brake,NN,335
188,offer,NN,334
189,owner,NN,332
190,sound,NN,328
191,available,JJ,328
192,nothing,NN,325
193,someone,NN,324
194,thought,NN,324
195,auto,NN,324
196,real,JJ,322
197,market,NN,322
198,rpm,NN,318
199,yet,RB,317
